SourcePort,DestinationPort,Protocol,FlowDuration,TotalFwdPackets,TotalBackwardPackets,TotalLengthofFwdPackets,TotalLengthofBwdPackets,FwdPacketLengthMax,FwdPacketLengthMin,FwdPacketLengthStd,BwdPacketLengthMax,BwdPacketLengthMin,BwdPacketLengthStd,FlowIATMean,FlowIATStd,FlowIATMax,FlowIATMin,FwdIATTotal,FwdIATMean,FwdIATStd,FwdIATMax,FwdIATMin,BwdIATTotal,BwdIATMean,BwdIATStd,BwdIATMax,BwdIATMin,FwdPSHFlags,FwdHeaderLength,BwdHeaderLength,PacketLengthMean,PacketLengthStd,PacketLengthVariance,SYNFlagCount,RSTFlagCount,ACKFlagCount,URGFlagCount,CWEFlagCount,Down/UpRatio,AveragePacketSize,SubflowFwdPackets,SubflowFwdBytes,SubflowBwdPackets,SubflowBwdBytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,ActiveMean,ActiveStd,ActiveMax,ActiveMin,IdleMean,IdleStd,IdleMax,IdleMin,Inbound,Label,orig_pred,adv_pred,n_iters
50260.0013,80.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1374.429,0.5,0.0,1.0,0.0,0.0,0.0,5067445.2266,0.0,0.0,119943722.9529,0.0,0.0,117633431.004,21.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,253.0,-1.0,0.0,202.0,0.0,10637562.3089,0.0,0.0,0.0,69614023.3833,117569198.7934,0.0,0.0,BENIGN,BENIGN,Syn,61.0
10198.0003,11164.9996,6.0,1.0,1.0,0.0,12.0,6073.9998,6.0,6.0,16.191,0.0,6.0,0.0,16911.7649,840085.1488,2240145.9876,10496059.0231,156911.0009,1983651.0669,243538.364,2142513.9395,10496059.0231,0.0,3171038.9093,41455107.2701,0.0,1.0,0.0,1280.0,0.0,6.0,0.0,69074.4922,0.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0,12.0,0.0,6073.9998,5840.0,-1.0,1.0,40.0,4684588.1262,0.0,8397239.0711,4684588.1262,1956575.0681,3857407.532,0.0,1811759.0052,1.0,Syn,Syn,BENIGN,1.0
5713.9999,16721.0007,6.0,1.0,1.0,0.0,12.0,6073.9998,6.0,6.0,15.134,0.0,0.0,0.0,1944.9971,476108.1729,1607682.9781,10496059.0231,0.0,1446963.8856,209307.4817,1663254.0121,10496059.0231,0.0,2326424.1587,41455107.2701,0.0,1.0,0.0,1280.0,0.0,6.0,0.0,69074.4922,0.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0,12.0,0.0,6073.9998,5840.0,-1.0,1.0,40.0,4684588.1262,0.0,4341663.0246,4684588.1262,1638127.0912,2683277.2897,0.0,1318144.9884,1.0,Syn,Syn,BENIGN,1.0
51425.0009,58810.0011,17.0,2.0,2.0,0.0,750.0,0.0,375.0,375.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562.5,2.0,750.0,0.0,0.0,-1.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,UDP,UDP,-1.0,inf
12871.9997,60673.0,6.0,1.0,1.0,46.0,12.0,6073.9998,6.0,6.0,10.615,0.0,0.0,0.0,0.667,337574.8663,1129773.0338,1640023.9719,166060.9987,962463.5238,126647.9798,1105480.0146,1365494.0182,0.0,1619827.0994,41455107.2701,0.0,1.0,0.0,1280.0,0.0,6.0,0.0,69074.4922,0.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0,12.0,0.0,6073.9998,5840.0,-1.0,1.0,40.0,4684588.1262,0.0,4279098.9222,3742810.1229,908925.1038,2043596.7272,0.0,623178.9788,1.0,Syn,Syn,BENIGN,1.0
50299.0001,9035.9998,17.0,2.0,2.0,0.0,754.0,0.0,377.0,377.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565.5,2.0,754.0,0.0,0.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,UDPLag,UDP,-1.0,inf
56704.9999,12613.9999,6.0,45269.0014,1.0,4.0,12.0,6073.9998,6.0,6.0,1.699,0.0,0.0,0.0,0.667,103475.5244,257747.9861,0.0,0.0,230227.7182,35166.0728,305916.9972,0.0,0.0,506896.8618,41455107.2701,0.0,0.0,0.0,1280.0,0.0,6.0,0.0,8541.7731,0.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0,12.0,0.0,3961.0,5840.0,-1.0,1.0,26.0,4684588.1262,0.0,1682263.0305,1216135.9811,0.0,287608.2405,0.0,0.0,1.0,Syn,Syn,BENIGN,0.0
925.0,55454.0015,17.0,7656808.9446,1.0,0.0,458.0,4378.0,229.0,229.0,164.049,976.0,6.0,292.605,14550039.2752,0.0,1.0,203.0,43650115.7211,0.0,0.0,43650113.5286,203.0,0.0,225905.3593,501564.292,2026683.1005,0.0,0.0,1008.0,0.0,229.0,0.0,56452.253,0.0,0.0,0.0,0.0,0.0,3.0,343.5,2.0,458.0,0.0,4378.0,-1.0,247.0,1.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NetBIOS,NetBIOS,BENIGN,40.0
59770.0001,443.0,6.0,119997508.8263,1.0,31700.0,1114.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,14392499.6863,13059467.6174,1.0,0.0,119997514.5058,0.0,67905822.6733,0.0,0.0,0.0,0.0,0.0,117633431.004,0.0,1.0,0.0,640.0,46.877,47.327,0.0,0.0,1.0,0.0,1.0,0.0,0.0,47.714,24.0,1114.0,32.0,0.0,16295.0,-1.0,19.0,0.0,0.0,10637562.3089,0.0,0.0,0.0,66922169.1916,117569198.7934,0.0,0.0,BENIGN,BENIGN,Syn,40.0
62605.9995,53.0,17.0,15700.0,1407.0,4917.9998,66.0,4289960.9683,33.0,33.0,1179.925,3627.0,0.0,1374.429,0.5,0.0,1.0,0.0,5417085.9236,0.0,0.0,0.0,0.0,47792391.2428,0.0,0.0,117633431.004,0.0,0.0,0.0,40.0,63.0,41.079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.75,2.0,66.0,2.0,3652564.9127,-1.0,15535.0,1.0,0.0,0.0,0.0,0.0,0.0,116174270.3449,30498956.2037,25916740.8379,0.0,0.0,BENIGN,BENIGN,Syn,21.0
