SourcePort,DestinationPort,Protocol,FlowDuration,TotalFwdPackets,TotalBackwardPackets,TotalLengthofFwdPackets,TotalLengthofBwdPackets,FwdPacketLengthMax,FwdPacketLengthMin,FwdPacketLengthStd,BwdPacketLengthMax,BwdPacketLengthMin,BwdPacketLengthStd,FlowIATMean,FlowIATStd,FlowIATMax,FlowIATMin,FwdIATTotal,FwdIATMean,FwdIATStd,FwdIATMax,FwdIATMin,BwdIATTotal,BwdIATMean,BwdIATStd,BwdIATMax,BwdIATMin,FwdPSHFlags,FwdHeaderLength,BwdHeaderLength,PacketLengthMean,PacketLengthStd,PacketLengthVariance,SYNFlagCount,RSTFlagCount,ACKFlagCount,URGFlagCount,CWEFlagCount,Down/UpRatio,AveragePacketSize,SubflowFwdPackets,SubflowFwdBytes,SubflowBwdPackets,SubflowBwdBytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,ActiveMean,ActiveStd,ActiveMax,ActiveMin,IdleMean,IdleStd,IdleMax,IdleMin,Inbound,Label,orig_pred,adv_pred,target_pred,orig_confidence,adv_confidence,perceptibility,perturbation_norm,best_iter
948.0,879.0,17.0,456231.754,298.757,267.839,2944.0,495377.405,1472.0,1472.0,12.694,204.71,10.948,56.104,188900.278,296937.563,574932.486,317810.582,52965.704,22264.93,189731.12,75998.29,372058.837,162702.524,277507.168,713082.956,247249.764,2.29,0.0,4181.454,3692.392,1472.0,11.739,128087.611,0.0,0.0,0.0,0.0,0.0,0.146,2208.0,45.773,89616.94,271.3,158733.955,93.536,147.249,187.888,20.936,384294.9,20271.466,588871.149,24061.807,618737.875,401650.17,802507.655,54615.476,1.0,LDAP,LDAP,-1,Benign,0.9780570864677429,0.9799320101737976,inf,inf,inf
696.0,27066.999,17.0,1107707.86,100.431,232.041,458.0,509631.81,229.0,229.0,9.193,375.102,7.264,49.018,249631.035,469952.447,102170.141,102243.997,23286.271,172491.72,629145.234,882063.486,320534.36,200746.929,358426.072,760736.572,506283.973,0.095,0.0,4096.858,2588.392,229.0,3.757,97647.675,0.0,0.0,0.0,0.0,0.0,0.206,343.5,384.474,93431.064,87.848,494243.307,72.534,614.195,33.062,23.963,33659.401,432360.336,8508.17,141490.61,407878.593,71329.243,837944.497,684130.809,1.0,NetBIOS,NetBIOS,-1,Benign,0.9999966621398926,0.47185277938842773,inf,inf,inf
54045.999,53.0,17.0,479306.985,1.0,1583.0,62.0,689738.026,31.0,31.0,124.697,794.0,53.0,225.551,0.5,0.0,1.0,0.0,0.0,1051.108,0.0,368206.013,0.0,2656829.963,0.0,205011.631,2175173.106,1.0,0.0,4450.0,27385.999,49.8,192.885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.25,1.0,0.0,1602.0,0.0,-1.0,-1.0,0.0,21.0,0.0,313066.87,0.0,0.0,348227.417,1768468.731,453246.005,292931.99,0.0,Benign,Benign,UDP,UDP,1.0,0.6769744753837585,0.0001221686543431133,0.12490308284759521,6.0
61051.0,506.0,17.0,406559.078,710.106,212.758,904.0,566216.107,452.0,452.0,13.797,312.89,14.476,13.35,119091.127,460650.806,1162138.125,113523.855,1038140.044,78441.662,535931.252,514738.272,355672.612,39074.298,396713.071,230260.118,924506.579,1.135,0.0,3228.22,2412.275,452.0,28.794,326527.104,0.0,0.0,0.0,0.0,0.0,0.158,678.0,155.067,30436.468,43.638,241498.91,60.988,583.268,97.03,35.185,48690.145,30585.431,93595.091,51146.717,305779.197,439465.379,594090.767,297919.703,1.0,MSSQL,MSSQL,-1,Benign,0.9644616842269897,0.9803729057312012,inf,inf,inf
22795.0,35269.001,17.0,629175.468,314.703,281.723,1122.0,529463.928,561.0,561.0,2.162,313.898,5.474,66.571,203549.942,311924.924,206259.223,96100.712,174490.405,636.313,532770.09,607233.24,8145.555,1169926.691,293390.788,582449.797,939846.539,1.382,0.0,3128.635,5911.132,561.0,17.563,83406.965,0.0,0.0,0.0,0.0,0.0,0.079,841.5,105.575,141158.601,292.797,61318.007,401.163,496.11,82.568,29.035,9360.011,24335.016,601197.222,246167.196,709799.298,612899.56,322816.827,619209.038,1.0,MSSQL,MSSQL,-1,Benign,0.9916393160820007,0.9923890233039856,inf,inf,inf
699.0,14731.0,17.0,275128.289,755.916,283.276,458.0,321723.461,229.0,229.0,15.245,176.679,0.271,38.679,334536.406,175665.082,653132.577,316485.876,480820.194,325565.542,175336.019,1046739.609,152906.131,760991.361,142138.596,123963.444,935414.131,0.261,0.0,1505.999,3620.652,229.0,51.671,349729.218,0.0,0.0,0.0,0.0,0.0,0.154,343.5,786.296,141416.515,244.023,408846.093,584.62,601.176,115.482,30.888,192766.685,54181.212,273244.172,293823.412,33722.886,222976.436,742135.3,209752.961,1.0,NetBIOS,NetBIOS,-1,Benign,0.9999953508377075,0.4779664874076843,inf,inf,inf
679.0,24610.999,17.0,478947.625,2.331,123.462,494.0,379524.353,247.0,247.0,17.576,141.715,11.222,63.863,389916.869,335292.43,1125025.317,322360.226,785459.383,328812.051,493272.537,596205.449,187978.336,759363.318,183013.843,575708.762,860652.844,1.287,0.0,199.026,4115.338,247.0,52.947,2258.666,0.0,0.0,0.0,0.0,0.0,0.031,370.5,320.429,50875.472,297.78,314375.626,243.941,365.121,118.12,20.427,213995.678,249996.769,341097.986,159395.574,828803.529,472528.256,432304.526,307521.73,1.0,NetBIOS,NetBIOS,-1,Benign,0.9999966621398926,0.7854709029197693,inf,inf,inf
814.0,35409.999,17.0,623874.196,249.12,50.069,2944.0,269617.279,1472.0,1472.0,14.48,25.436,8.098,53.664,190412.381,27017.865,141137.335,70710.46,378448.368,252597.048,589102.47,17786.227,49129.656,1138646.585,192665.607,634154.347,975796.279,1.95,0.0,1745.764,1081.928,1472.0,0.953,61701.27,0.0,0.0,0.0,0.0,0.0,0.025,2208.0,435.424,67413.359,191.271,460348.603,439.002,115.561,49.475,26.45,21407.129,460027.464,445484.71,386058.176,896425.814,442217.447,105562.817,1110556.564,1.0,LDAP,LDAP,-1,Benign,0.9860256314277649,0.9771546721458435,inf,inf,inf
833.0,54808.0,17.0,1.0,31.0,0.0,458.0,4378.0,229.0,229.0,164.049,0.0,6.0,0.0,6275306.371,0.0,1.0,203.0,34325096.233,1942112.51,0.0,0.0,203.0,0.0,0.0,0.0,2026683.101,3.0,0.0,0.0,0.0,229.0,237.597,0.0,0.0,0.0,0.0,0.0,0.0,3.0,343.5,1.0,0.0,0.0,0.0,-1.0,247.0,20.0,0.0,12414.0,8433.662,12414.0,12414.0,0.0,0.0,0.0,0.0,1.0,NetBIOS,NetBIOS,Benign,Benign,0.9999953508377075,0.4800277054309845,1.8109712982550263e-05,0.3668096959590912,292.0
26715.999,34823.0,6.0,1.0,1.0,46.0,12.0,0.0,6.0,6.0,0.0,0.0,6.0,322.844,0.667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7710868.783,15508291.388,2953997.454,54.749,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,29716.193,-1.0,0.0,40.0,0.0,0.0,0.0,4684588.126,32853658.929,0.0,0.0,0.0,1.0,Syn,Syn,Benign,Benign,0.5608920454978943,0.4307248592376709,2.357980702072382e-05,0.0358494333922863,539.0
